root,name,has_yaml,description,source_path
claude,access,yes,"Manage iMessage channel access — approve pairings, edit allowlists, set DM/group policy. Use when the user asks to pair, approve someone, check who's allowed, or change policy for the iMessage channel.",C:\Users\Treml\.claude\plugins\marketplaces\claude-plugins-official\external_plugins\imessage\skills\access\SKILL.md
claude,access,yes,"Manage Discord channel access — approve pairings, edit allowlists, set DM/group policy. Use when the user asks to pair, approve someone, check who's allowed, or change policy for the Discord channel.",C:\Users\Treml\.claude\plugins\marketplaces\claude-plugins-official\external_plugins\discord\skills\access\SKILL.md
claude,access,yes,"Manage Telegram channel access — approve pairings, edit allowlists, set DM/group policy. Use when the user asks to pair, approve someone, check who's allowed, or change policy for the Telegram channel.",C:\Users\Treml\.claude\plugins\marketplaces\claude-plugins-official\external_plugins\telegram\skills\access\SKILL.md
claude,accessibility-compliance,yes,"Ensure cultural programs and facilities meet ADA requirements and universal design principles including accommodations, assistive technologies, and inclusive practices",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\social-sciences-humanities\arts-culture\skills\accessibility-compliance\SKILL.md
claude,accessibility-compliance-auditing,yes,"Evaluate learning materials and technology for WCAG, Section 508, and accessibility compliance with remediation recommendations",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\social-sciences-humanities\education\skills\accessibility-compliance-auditing\SKILL.md
claude,accessibility-games,yes,Game accessibility skill for colorblind modes and control remapping.,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\game-development\skills\accessibility-games\SKILL.md
claude,accessibility-report,yes,Generate accessibility compliance reports including VPAT and ACR documents,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\ux-ui-design\skills\accessibility-report\SKILL.md
claude,accessibility-test-runner,yes,Run accessibility audits with axe-core and screen reader testing for desktop applications,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\desktop-development\skills\accessibility-test-runner\SKILL.md
claude,accessibility-testing,yes,"Mobile accessibility testing skill for WCAG compliance, VoiceOver/TalkBack validation, dynamic type support, color contrast analysis, and accessibility auditing across iOS and Android platforms.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\mobile-development\skills\accessibility-testing\SKILL.md
claude,account-reconciliation-automator,yes,Automated account reconciliation skill with matching algorithms and exception handling,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\finance-accounting\skills\account-reconciliation-automator\SKILL.md
claude,accreditation-tracer-simulation,yes,Simulate Joint Commission tracer methodology to assess compliance with accreditation standards across patient care processes and support systems,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\social-sciences-humanities\healthcare\skills\accreditation-tracer-simulation\SKILL.md
claude,acmg-variant-classifier,yes,ACMG/AMP variant classification skill for systematic pathogenicity assessment,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\bioinformatics\skills\acmg-variant-classifier\SKILL.md
claude,action-item-tracker,yes,"Tracks board action items, follow-ups, commitments across companies",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\venture-capital\skills\action-item-tracker\SKILL.md
claude,actionable-error-formatter,yes,Format errors with actionable fix suggestions and documentation links,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\sdk-platform-development\skills\actionable-error-formatter\SKILL.md
claude,ada-compliance-checker,yes,"ADA accessibility compliance checking skill for routes, slopes, and pedestrian facilities",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\civil-engineering\skills\ada-compliance-checker\SKILL.md
claude,adaptive-music,yes,Adaptive music skill for horizontal/vertical resequencing and stingers.,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\game-development\skills\adaptive-music\SKILL.md
claude,additive-manufacturing,yes,"Skill for additive manufacturing process selection, design optimization, and build preparation",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\mechanical-engineering\skills\additive-manufacturing\SKILL.md
claude,adkar-assessment,yes,Assess and track ADKAR change readiness across stakeholder groups with intervention recommendations,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\business-analysis\skills\adkar-assessment\SKILL.md
claude,adr-generator,yes,"Specialized skill for generating and managing Architecture Decision Records (ADRs). Supports Nygard, MADR, and custom templates with auto-numbering, linking, and status management.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\software-architecture\skills\adr-generator\SKILL.md
claude,advanced-ds-library,yes,Provide implementations of advanced data structures,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\algorithms-optimization\skills\advanced-ds-library\SKILL.md
claude,adversarial-review,yes,"Fresh adversarial code review with binary PASS/FAIL verdicts, evidence citations, and anchoring bias prevention via fresh reviewer spawning.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\methodologies\metaswarm\skills\adversarial-review\SKILL.md
claude,adverse-event-reporter,yes,Adverse event monitoring and reporting skill for MDR/MEDWATCH compliance,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\biomedical-engineering\skills\adverse-event-reporter\SKILL.md
claude,aero-cfd,yes,Vehicle aerodynamics simulation and optimization expertise,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\automotive-engineering\skills\aero-cfd\SKILL.md
claude,aero-database,yes,Systematic generation and management of aerodynamic coefficient databases,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\aerospace-engineering\skills\aero-database\SKILL.md
claude,aeroelastic-analysis,yes,"Skill for flutter, divergence, and aeroelastic response analysis",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\aerospace-engineering\skills\aeroelastic-analysis\SKILL.md
claude,aflow-materials-discovery,yes,AFLOW automatic materials discovery skill for high-throughput DFT calculations and materials database queries,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\physics\skills\aflow-materials-discovery\SKILL.md
claude,afm-spm-analyzer,yes,"Atomic Force Microscopy and Scanning Probe Microscopy skill for nanoscale topography, mechanical, and electrical property mapping",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\nanotechnology\skills\afm-spm-analyzer\SKILL.md
claude,Agent Development,yes,"This skill should be used when the user asks to ""create an agent"", ""add an agent"", ""write a subagent"", ""agent frontmatter"", ""when to use description"", ""agent examples"", ""agent tools"", ""agent colors"", ""autonomous agent"", or needs guidance on agent structure, system prompts, triggering conditions, or agent development best practices for Claude Code plugins.",C:\Users\Treml\.claude\plugins\marketplaces\claude-code-plugins\plugins\plugin-dev\skills\agent-development\SKILL.md
claude,agent-based-simulator,yes,Agent-based modeling skill for simulating complex adaptive systems with heterogeneous interacting agents,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\decision-intelligence\skills\agent-based-simulator\SKILL.md
claude,agent-booster,yes,"WASM-based instant code transforms for simple tasks, achieving 352x speedup over LLM inference with zero cost.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\methodologies\ruflo\skills\agent-booster\SKILL.md
claude,agent-coordination,yes,Coordinate Crew (persistent) and Polecat (transient) agents using Gas Town's hook-based work distribution and GUPP principle.,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\methodologies\gastown\skills\agent-coordination\SKILL.md
claude,agent-development,yes,"This skill should be used when the user asks to ""create an agent"", ""add an agent"", ""write a subagent"", ""agent frontmatter"", ""when to use description"", ""agent examples"", ""agent tools"", ""agent colors"", ""autonomous agent"", or needs guidance on agent structure, system prompts, triggering conditions, or agent development best practices for Claude Code plugins.",C:\Users\Treml\.claude\plugins\marketplaces\claude-plugins-official\plugins\plugin-dev\skills\agent-development\SKILL.md
claude,agent-development,yes,"This skill should be used when the user asks to ""create an agent"", ""add an agent"", ""write a subagent"", ""agent frontmatter"", ""when to use description"", ""agent examples"", ""agent tools"", ""agent colors"", ""autonomous agent"", or needs guidance on agent structure, system prompts, triggering conditions, or agent development best practices for Claude Code plugins.",C:\Users\Treml\.claude\plugins\cache\claude-plugins-official\plugin-dev\unknown\skills\agent-development\SKILL.md
claude,agent-dispatch,no,,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\methodologies\automaker\skills\agent-dispatch\SKILL.md
claude,agent-generator,yes,"Generate AGENT.md files with proper YAML frontmatter, role definitions, expertise areas, and prompt templates following Babysitter SDK conventions.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\meta\skills\agent-generator\SKILL.md
claude,agent-ready-apis,yes,"Knowledge about AI agent API compatibility. Use when user asks about API readiness, agent compatibility, or wants to improve their API for AI consumption.",C:\Users\Treml\.claude\plugins\cache\claude-plugins-official\postman\1.0.0\skills\agent-ready-apis\SKILL.md
claude,agile-metrics-calculator,yes,"Calculate and analyze Agile delivery metrics including velocity, burndown, and flow metrics",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\project-management\skills\agile-metrics-calculator\SKILL.md
claude,ahp-calculator,yes,"Analytic Hierarchy Process (AHP) calculation skill for pairwise comparison matrices, consistency checking, and weight derivation",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\decision-intelligence\skills\ahp-calculator\SKILL.md
claude,ai-gateway,yes,"Vercel AI Gateway expert guidance. Use when configuring model routing, provider failover, cost tracking, or managing multiple AI providers through a unified API.",C:\Users\Treml\.claude\plugins\cache\claude-plugins-official\vercel\0.42.1\skills\ai-gateway\SKILL.md
claude,ai-sdk,yes,"Vercel AI SDK expert guidance. Use when building AI-powered features — chat interfaces, text generation, structured output, tool calling, agents, MCP integration, streaming, embeddings, reranking, image generation, or working with any LLM provider.",C:\Users\Treml\.claude\plugins\cache\claude-plugins-official\vercel\0.42.1\skills\ai-sdk\SKILL.md
claude,ai-sdk,yes,"Answer questions about the AI SDK and help build AI-powered features. Use when developers: (1) Ask about AI SDK functions like generateText, streamText, ToolLoopAgent, embed, or tools, (2) Want to build AI agents, chatbots, RAG systems, or text generation features, (3) Have questions about AI providers (OpenAI, Anthropic, Google, etc.), streaming, tool calling, structured output, or embeddings, (4) Use React hooks like useChat or useCompletion. Triggers on: ""AI SDK"", ""Vercel AI SDK"", ""generateText"", ""streamText"", ""add AI to my app"", ""build an agent"", ""tool calling"", ""structured output"", ""useChat"".",C:\Users\Treml\.claude\plugins\cache\claude-plugins-official\vercel\0.42.1\skills\ai-sdk\upstream\SKILL.md
claude,aiml-security,yes,"AI/ML model security testing and adversarial research capabilities. Generate adversarial examples, test model robustness, perform model extraction attacks, test for data poisoning, analyze model fairness, and support ART framework integration.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\security-research\skills\aiml-security\SKILL.md
claude,aiml-validation-framework,yes,AI/ML medical device validation skill implementing FDA's GMLP principles,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\biomedical-engineering\skills\aiml-validation-framework\SKILL.md
claude,air-pollution-control,yes,"Specialized skill for air pollution control equipment selection and design including scrubbers, baghouses, ESPs, oxidizers, and BACT/LAER determination.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\environmental-engineering\skills\air-pollution-control\SKILL.md
claude,airflow-dag-analyzer,yes,"Analyzes, validates, and optimizes Apache Airflow DAGs for reliability, performance, and best practices adherence.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\data-engineering-analytics\skills\airflow-dag-analyzer\SKILL.md
claude,alarm-rationalization-tool,yes,"Alarm management skill for alarm rationalization, setpoint optimization, and ISA-18.2 compliance",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\chemical-engineering\skills\alarm-rationalization-tool\SKILL.md
claude,album-conceptualization,yes,"Develop cohesive album concepts including themes, motifs, sonic palettes, narrative arcs, track sequencing, and visual direction for unified album experiences",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\social-sciences-humanities\arts-culture\music-album-creation\skills\album-conceptualization\SKILL.md
claude,ald-process-controller,yes,Atomic Layer Deposition skill for conformal thin film deposition with atomic-level thickness control,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\nanotechnology\skills\ald-process-controller\SKILL.md
claude,algorithm-visualizer,yes,Generate visual representations of algorithm execution,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\algorithms-optimization\skills\algorithm-visualizer\SKILL.md
claude,alibi-explainer,yes,"Alibi explainability skill for counterfactual explanations, anchors, and trust scores.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\data-science-ml\skills\alibi-explainer\SKILL.md
claude,Allure Test Reporting,yes,Allure test reporting framework for comprehensive test result visualization,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\qa-testing-automation\skills\allure-reporting\SKILL.md
claude,alphafold-predictor,yes,AlphaFold protein structure prediction skill with confidence assessment and model analysis,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\bioinformatics\skills\alphafold-predictor\SKILL.md
claude,amortized-analysis-assistant,yes,"Apply amortized analysis techniques including aggregate, accounting, and potential methods",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\computer-science\skills\amortized-analysis-assistant\SKILL.md
claude,amplitude-desktop-integration,yes,Integrate Amplitude analytics with privacy controls for desktop applications,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\desktop-development\skills\amplitude-desktop-integration\SKILL.md
claude,analogy-mapper,yes,Skill for identifying and mapping analogies across domains,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\scientific-discovery\skills\analogy-mapper\SKILL.md
claude,analytics,yes,"Google Analytics 4, tag management, and event tracking.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\web-development\skills\analytics\SKILL.md
claude,anaplan-planning,yes,Anaplan connected planning for territory and quota management,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\sales\skills\anaplan-planning\SKILL.md
claude,angular-development,yes,"Angular development patterns including modules, components, services, dependency injection, signals, and enterprise architecture.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\web-development\skills\angular-development\SKILL.md
claude,animation-blending,yes,Animation blending skill for blend trees.,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\game-development\skills\animation-blending\SKILL.md
claude,animation-rigging,yes,Character rigging skill for IK constraints.,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\game-development\skills\animation-rigging\SKILL.md
claude,animation-spec,yes,"Generate animation specifications, easing curves, and motion design documentation",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\ux-ui-design\skills\animation-spec\SKILL.md
claude,animation-state-machines,yes,Animation state machine skill for transitions.,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\game-development\skills\animation-state-machines\SKILL.md
claude,ansatz-designer,yes,Parameterized quantum circuit (ansatz) design skill for variational algorithms,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\quantum-computing\skills\ansatz-designer\SKILL.md
claude,anthropometric-analyzer,yes,Anthropometric data analysis skill for workstation design and accommodation.,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\industrial-engineering\skills\anthropometric-analyzer\SKILL.md
claude,anti-cheat,yes,Anti-cheat skill for server validation and cheat detection.,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\game-development\skills\anti-cheat\SKILL.md
claude,anti-drift,yes,"Hierarchical coordination and drift detection with frequent checkpoints, shared memory coherence validation, role specialization enforcement, and short task cycles.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\methodologies\ruflo\skills\anti-drift\SKILL.md
claude,ap-style-writing,yes,"AP style compliance, grammar checking, and PR writing assistance",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\public-relations\skills\ap-style-writing\SKILL.md
claude,Apache Spark Optimizer,yes,"Analyzes and optimizes Apache Spark jobs for performance, cost, and resource utilization",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\data-engineering-analytics\skills\apache-spark-optimizer\SKILL.md
claude,API Testing,yes,Comprehensive API testing for REST and GraphQL endpoints with contract validation,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\qa-testing-automation\skills\api-testing\SKILL.md
claude,api-compatibility-analyzer,yes,Analyze API changes for backward compatibility with breaking change detection and consumer impact assessment,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\code-migration-modernization\skills\api-compatibility-analyzer\SKILL.md
claude,api-diff-analyzer,yes,"Compare API specifications to detect breaking changes. Compare OpenAPI spec versions, categorize changes by severity, generate migration guides, and block breaking changes in CI.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\sdk-platform-development\skills\api-diff-analyzer\SKILL.md
claude,api-gateway-configurator,yes,Configure API gateways for SDK traffic management,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\sdk-platform-development\skills\api-gateway-configurator\SKILL.md
claude,api-inventory-scanner,yes,"Discover and document existing API endpoints from code, logs, and traffic analysis",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\code-migration-modernization\skills\api-inventory-scanner\SKILL.md
claude,api-key-manager,yes,"API key generation, rotation, and management system",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\sdk-platform-development\skills\api-key-manager\SKILL.md
claude,api-mock-server,yes,Generate and run mock API servers from OpenAPI specifications,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\software-architecture\skills\api-mock-server\SKILL.md
claude,apollo-prospecting,yes,Apollo.io prospecting and engagement data integration,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\sales\skills\apollo-prospecting\SKILL.md
claude,apollo-server,yes,"Apollo Server configuration, plugins, caching, federation, and performance optimization.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\web-development\skills\apollo-server\SKILL.md
claude,App Store Connect,yes,Apple App Store submission and management expertise,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\mobile-development\skills\app-store-connect\SKILL.md
claude,appimage-builder,yes,Build AppImage bundles with AppDir structure for portable Linux applications,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\desktop-development\skills\appimage-builder\SKILL.md
claude,Appium Mobile Testing,yes,Appium mobile testing framework for iOS and Android automation,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\qa-testing-automation\skills\appium-mobile\SKILL.md
claude,appkit-menu-bar-builder,yes,Generate NSMenu and NSStatusItem configurations for macOS menu bar applications,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\desktop-development\skills\appkit-menu-bar-builder\SKILL.md
claude,approximation-ratio-calculator,yes,Analyze and prove approximation ratios for optimization algorithms,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\computer-science\skills\approximation-ratio-calculator\SKILL.md
claude,architecture-analyzer,yes,"Analyze and visualize software architecture patterns, dependencies, and module boundaries for migration planning",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\code-migration-modernization\skills\architecture-analyzer\SKILL.md
claude,architecture-design,no,,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\methodologies\bmad-method\skills\architecture-design\SKILL.md
claude,architecture-patterns,yes,"System and API design guidance covering component boundaries, data flow, integration patterns, and scalability considerations.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\methodologies\cc10x\skills\architecture-patterns\SKILL.md
claude,archival-finding-aid-interpretation,yes,"Navigate finding aids, catalog systems, and archival hierarchies to locate relevant collections and documents efficiently",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\social-sciences-humanities\humanities\skills\archival-finding-aid-interpretation\SKILL.md
claude,argparse-scaffolder,yes,"Generate argparse-based Python CLI applications with subparsers, type converters, and standard library patterns. Creates lightweight Python CLIs without external dependencies.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\cli-mcp-development\skills\argparse-scaffolder\SKILL.md
claude,argument-mapping-reconstruction,yes,"Extract arguments from complex texts, identify premises, conclusions, and implicit assumptions, and create visual argument maps using Toulmin model or standard form",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\social-sciences-humanities\philosophy\skills\argument-mapping-reconstruction\SKILL.md
claude,argument-validator-generator,yes,"Generate argument validation logic with type coercion, constraints, custom validators, and helpful error messages for CLI applications.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\cli-mcp-development\skills\argument-validator-generator\SKILL.md
claude,aria,yes,"WAI-ARIA implementation, roles, states, and properties.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\web-development\skills\aria\SKILL.md
claude,arize-observability,yes,"Arize AI skill for production ML monitoring, embedding drift, and performance analysis.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\data-science-ml\skills\arize-observability\SKILL.md
claude,arm-cortex-m,yes,Deep expertise in ARM Cortex-M architecture and peripherals,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\embedded-systems\skills\arm-cortex-m\SKILL.md
claude,arts-advocacy-communication,yes,"Craft persuasive advocacy messages, coordinate coalition building, and engage with policymakers to advance arts funding and cultural policy priorities",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\social-sciences-humanities\arts-culture\skills\arts-advocacy-communication\SKILL.md
claude,arxiv-search-interface,yes,Search and analyze mathematical literature on arXiv,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\mathematics\skills\arxiv-search-interface\SKILL.md
claude,aspen-plus-simulator,yes,"Aspen Plus integration skill for steady-state process simulation, thermodynamic modeling, and equipment rating",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\chemical-engineering\skills\aspen-plus-simulator\SKILL.md
claude,assessment-item-development,yes,"Create valid, reliable assessment items across formats (multiple choice, constructed response, performance tasks) following psychometric best practices",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\social-sciences-humanities\education\skills\assessment-item-development\SKILL.md
claude,asset-optimization,yes,Asset optimization skill for mesh and texture budgets.,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\game-development\skills\asset-optimization\SKILL.md
claude,assimilate,yes,"Assimilate an external methodology, harness, or specification into babysitter process definitions with skills and agents.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\plugins\babysitter-opencode\skills\assimilate\SKILL.md
claude,assimilate,yes,"Assimilate an external methodology, harness, or specification into babysitter process definitions with skills and agents.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\plugins\babysitter-cursor\skills\assimilate\SKILL.md
claude,assimilate,yes,"Assimilate an external methodology, harness, or specification into babysitter process definitions with skills and agents.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\plugins\babysitter-omp\skills\assimilate\SKILL.md
claude,assimilate,yes,"Assimilate an external methodology, harness, or specification into babysitter process definitions with skills and agents.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\plugins\babysitter-codex\skills\assimilate\SKILL.md
claude,assimilate,yes,"Assimilate an external methodology, harness, or specification into babysitter process definitions with skills and agents.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\plugins\babysitter-pi\skills\assimilate\SKILL.md
claude,assimilate,yes,"Assimilate an external methodology, harness, or specification into babysitter process definitions with skills and agents.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\plugins\babysitter-github\skills\assimilate\SKILL.md
claude,AST Manipulation,yes,"Expert skill for abstract syntax tree design, traversal, transformation, and manipulation patterns",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\programming-languages\skills\ast-manipulation\SKILL.md
claude,astar,yes,A* pathfinding skill for heuristics and optimization.,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\game-development\skills\astar\SKILL.md
claude,asymptotic-notation-calculator,yes,"Automated derivation and simplification of Big-O, Big-Omega, and Big-Theta expressions for algorithm analysis",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\computer-science\skills\asymptotic-notation-calculator\SKILL.md
claude,asyncapi-docs,yes,"AsyncAPI specification handling for event-driven API documentation. Parse, validate, and generate documentation for message-based APIs including Kafka, MQTT, WebSocket, and AMQP systems.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\technical-documentation\skills\asyncapi-docs\SKILL.md
claude,atcoder-client,yes,Interface with AtCoder for Japanese competitive programming contests,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\algorithms-optimization\skills\atcoder-client\SKILL.md
