name,has_yaml,copies,description,kept_source_path,other_copy_paths
ada-compliance-checker,yes,1,"ADA accessibility compliance checking skill for routes, slopes, and pedestrian facilities",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\civil-engineering\skills\ada-compliance-checker\SKILL.md,
adaptive-music,yes,1,Adaptive music skill for horizontal/vertical resequencing and stingers.,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\game-development\skills\adaptive-music\SKILL.md,
additive-manufacturing,yes,1,"Skill for additive manufacturing process selection, design optimization, and build preparation",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\mechanical-engineering\skills\additive-manufacturing\SKILL.md,
adkar-assessment,yes,1,Assess and track ADKAR change readiness across stakeholder groups with intervention recommendations,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\business-analysis\skills\adkar-assessment\SKILL.md,
adr-generator,yes,1,"Specialized skill for generating and managing Architecture Decision Records (ADRs). Supports Nygard, MADR, and custom templates with auto-numbering, linking, and status management.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\software-architecture\skills\adr-generator\SKILL.md,
advanced-ds-library,yes,1,Provide implementations of advanced data structures,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\algorithms-optimization\skills\advanced-ds-library\SKILL.md,
adversarial-review,yes,1,"Fresh adversarial code review with binary PASS/FAIL verdicts, evidence citations, and anchoring bias prevention via fresh reviewer spawning.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\methodologies\metaswarm\skills\adversarial-review\SKILL.md,
adverse-event-reporter,yes,1,Adverse event monitoring and reporting skill for MDR/MEDWATCH compliance,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\biomedical-engineering\skills\adverse-event-reporter\SKILL.md,
aero-cfd,yes,1,Vehicle aerodynamics simulation and optimization expertise,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\automotive-engineering\skills\aero-cfd\SKILL.md,
aero-database,yes,1,Systematic generation and management of aerodynamic coefficient databases,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\aerospace-engineering\skills\aero-database\SKILL.md,
aeroelastic-analysis,yes,1,"Skill for flutter, divergence, and aeroelastic response analysis",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\aerospace-engineering\skills\aeroelastic-analysis\SKILL.md,
aflow-materials-discovery,yes,1,AFLOW automatic materials discovery skill for high-throughput DFT calculations and materials database queries,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\physics\skills\aflow-materials-discovery\SKILL.md,
afm-spm-analyzer,yes,1,"Atomic Force Microscopy and Scanning Probe Microscopy skill for nanoscale topography, mechanical, and electrical property mapping",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\nanotechnology\skills\afm-spm-analyzer\SKILL.md,
Agent Development,yes,1,"This skill should be used when the user asks to ""create an agent"", ""add an agent"", ""write a subagent"", ""agent frontmatter"", ""when to use description"", ""agent examples"", ""agent tools"", ""agent colors"", ""autonomous agent"", or needs guidance on agent structure, system prompts, triggering conditions, or agent development best practices for Claude Code plugins.",C:\Users\Treml\.claude\plugins\marketplaces\claude-code-plugins\plugins\plugin-dev\skills\agent-development\SKILL.md,
agent-based-simulator,yes,1,Agent-based modeling skill for simulating complex adaptive systems with heterogeneous interacting agents,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\decision-intelligence\skills\agent-based-simulator\SKILL.md,
agent-booster,yes,1,"WASM-based instant code transforms for simple tasks, achieving 352x speedup over LLM inference with zero cost.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\methodologies\ruflo\skills\agent-booster\SKILL.md,
agent-browser,yes,1,"Browser automation CLI for AI agents. Use when the user needs to interact with websites, verify dev server output, test web apps, navigate pages, fill forms, click buttons, take screenshots, extract data, or automate any browser task. Also triggers when a dev server starts so you can verify it visually.",C:\Users\Treml\.codex\.tmp\plugins\plugins\vercel\skills\agent-browser\SKILL.md,
agent-browser-verify,yes,1,"Automated browser verification for dev servers. Triggers when a dev server starts to run a visual gut-check with agent-browser — verifies the page loads, checks for console errors, validates key UI elements, and reports pass/fail before continuing.",C:\Users\Treml\.codex\.tmp\plugins\plugins\vercel\skills\agent-browser-verify\SKILL.md,
agent-coordination,yes,1,Coordinate Crew (persistent) and Polecat (transient) agents using Gas Town's hook-based work distribution and GUPP principle.,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\methodologies\gastown\skills\agent-coordination\SKILL.md,
agent-development,yes,2,"This skill should be used when the user asks to ""create an agent"", ""add an agent"", ""write a subagent"", ""agent frontmatter"", ""when to use description"", ""agent examples"", ""agent tools"", ""agent colors"", ""autonomous agent"", or needs guidance on agent structure, system prompts, triggering conditions, or agent development best practices for Claude Code plugins.",C:\Users\Treml\.claude\plugins\marketplaces\claude-plugins-official\plugins\plugin-dev\skills\agent-development\SKILL.md,C:\Users\Treml\.claude\plugins\cache\claude-plugins-official\plugin-dev\unknown\skills\agent-development\SKILL.md
agent-dispatch,no,1,,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\methodologies\automaker\skills\agent-dispatch\SKILL.md,
agent-generator,yes,1,"Generate AGENT.md files with proper YAML frontmatter, role definitions, expertise areas, and prompt templates following Babysitter SDK conventions.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\meta\skills\agent-generator\SKILL.md,
agent-ready-apis,yes,1,"Knowledge about AI agent API compatibility. Use when user asks about API readiness, agent compatibility, or wants to improve their API for AI consumption.",C:\Users\Treml\.claude\plugins\cache\claude-plugins-official\postman\1.0.0\skills\agent-ready-apis\SKILL.md,
agents-sdk,yes,1,"Build AI agents on Cloudflare Workers using the Agents SDK. Load when creating stateful agents, durable workflows, real-time WebSocket apps, scheduled tasks, MCP servers, or chat applications. Covers Agent class, state management, callable RPC, Workflows integration, and React hooks. Biases towards retrieval from Cloudflare docs over pre-trained knowledge.",C:\Users\Treml\.codex\.tmp\plugins\plugins\cloudflare\skills\agents-sdk\SKILL.md,
agents-sdk,yes,1,"Build, run, deploy, and evaluate OpenAI Agents SDK apps from Codex. Use when the user asks to create or adapt an Agents SDK app, build from a prompt or Codex thread, prepare a runnable agent prototype, add a focused eval harness, or deploy locally through the Agents SDK Deployment Manager.",C:\Users\Treml\.codex\.tmp\plugins\plugins\openai-developers\skills\agents-sdk\SKILL.md,
agile-metrics-calculator,yes,1,"Calculate and analyze Agile delivery metrics including velocity, burndown, and flow metrics",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\project-management\skills\agile-metrics-calculator\SKILL.md,
ahp-calculator,yes,1,"Analytic Hierarchy Process (AHP) calculation skill for pairwise comparison matrices, consistency checking, and weight derivation",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\decision-intelligence\skills\ahp-calculator\SKILL.md,
ai-elements,yes,1,"AI Elements component library guidance — pre-built React components for AI interfaces built on shadcn/ui. Use when building chat UIs, message displays, tool call rendering, streaming responses, reasoning panels, or any AI-native interface with the AI SDK.",C:\Users\Treml\.codex\.tmp\plugins\plugins\vercel\skills\ai-elements\SKILL.md,
ai-gateway,yes,1,"Vercel AI Gateway expert guidance. Use when configuring model routing, provider failover, cost tracking, or managing multiple AI providers through a unified API.",C:\Users\Treml\.claude\plugins\cache\claude-plugins-official\vercel\0.42.1\skills\ai-gateway\SKILL.md,
ai-gateway,yes,1,"Vercel AI Gateway expert guidance. Use when configuring model routing, provider failover, cost tracking, or managing multiple AI providers through a unified API.",C:\Users\Treml\.codex\.tmp\plugins\plugins\vercel\skills\ai-gateway\SKILL.md,
ai-generation-persistence,yes,1,"AI generation persistence patterns — unique IDs, addressable URLs, database storage, and cost tracking for every LLM generation",C:\Users\Treml\.codex\.tmp\plugins\plugins\vercel\skills\ai-generation-persistence\SKILL.md,
ai-sdk,yes,1,"Vercel AI SDK expert guidance. Use when building AI-powered features — chat interfaces, text generation, structured output, tool calling, agents, MCP integration, streaming, embeddings, reranking, image generation, or working with any LLM provider.",C:\Users\Treml\.claude\plugins\cache\claude-plugins-official\vercel\0.42.1\skills\ai-sdk\SKILL.md,
ai-sdk,yes,1,"Answer questions about the AI SDK and help build AI-powered features. Use when developers: (1) Ask about AI SDK functions like generateText, streamText, ToolLoopAgent, embed, or tools, (2) Want to build AI agents, chatbots, RAG systems, or text generation features, (3) Have questions about AI providers (OpenAI, Anthropic, Google, etc.), streaming, tool calling, structured output, or embeddings, (4) Use React hooks like useChat or useCompletion. Triggers on: ""AI SDK"", ""Vercel AI SDK"", ""generateText"", ""streamText"", ""add AI to my app"", ""build an agent"", ""tool calling"", ""structured output"", ""useChat"".",C:\Users\Treml\.claude\plugins\cache\claude-plugins-official\vercel\0.42.1\skills\ai-sdk\upstream\SKILL.md,
ai-sdk,yes,1,"Vercel AI SDK expert guidance. Use when building AI-powered features — chat interfaces, text generation, structured output, tool calling, agents, MCP integration, streaming, embeddings, reranking, image generation, or working with any LLM provider.",C:\Users\Treml\.codex\.tmp\plugins\plugins\vercel\skills\ai-sdk\SKILL.md,
ai-skill-packager,yes,1,"Convert loose notes, scripts, existing skills, agents, or MissionControl specialization folders into clean AI-ready skill or agent packages. Use when asked to clean up AI skill/agent materials, preserve an existing version, create a v2/codex-ready copy, package notes and scripts for AI use, or align a skill with Codex-style SKILL.md plus resources.",C:\Users\Treml\.codex\skills\ai-skill-packager\SKILL.md,
aiml-security,yes,1,"AI/ML model security testing and adversarial research capabilities. Generate adversarial examples, test model robustness, perform model extraction attacks, test for data poisoning, analyze model fairness, and support ART framework integration.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\security-research\skills\aiml-security\SKILL.md,
aiml-validation-framework,yes,1,AI/ML medical device validation skill implementing FDA's GMLP principles,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\biomedical-engineering\skills\aiml-validation-framework\SKILL.md,
air-pollution-control,yes,1,"Specialized skill for air pollution control equipment selection and design including scrubbers, baghouses, ESPs, oxidizers, and BACT/LAER determination.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\environmental-engineering\skills\air-pollution-control\SKILL.md,
airflow-dag-analyzer,yes,1,"Analyzes, validates, and optimizes Apache Airflow DAGs for reliability, performance, and best practices adherence.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\data-engineering-analytics\skills\airflow-dag-analyzer\SKILL.md,
alarm-rationalization-tool,yes,1,"Alarm management skill for alarm rationalization, setpoint optimization, and ISA-18.2 compliance",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\chemical-engineering\skills\alarm-rationalization-tool\SKILL.md,
album-conceptualization,yes,1,"Develop cohesive album concepts including themes, motifs, sonic palettes, narrative arcs, track sequencing, and visual direction for unified album experiences",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\social-sciences-humanities\arts-culture\music-album-creation\skills\album-conceptualization\SKILL.md,
ald-process-controller,yes,1,Atomic Layer Deposition skill for conformal thin film deposition with atomic-level thickness control,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\nanotechnology\skills\ald-process-controller\SKILL.md,
algorithm-visualizer,yes,1,Generate visual representations of algorithm execution,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\algorithms-optimization\skills\algorithm-visualizer\SKILL.md,
alibi-explainer,yes,1,"Alibi explainability skill for counterfactual explanations, anchors, and trust scores.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\data-science-ml\skills\alibi-explainer\SKILL.md,
Allure Test Reporting,yes,1,Allure test reporting framework for comprehensive test result visualization,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\qa-testing-automation\skills\allure-reporting\SKILL.md,
alpha,yes,1,Alpha fixture skill. Use when plugin-eval tests need one of two bundled skills.,C:\Users\Treml\.codex\.tmp\plugins\plugins\plugin-eval\fixtures\multi-skill-plugin\skills\alpha\SKILL.md,
alphafold-predictor,yes,1,AlphaFold protein structure prediction skill with confidence assessment and model analysis,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\bioinformatics\skills\alphafold-predictor\SKILL.md,
alphafold-skill,yes,1,"Submit compact AlphaFold Protein Structure Database API requests for prediction, UniProt summary, sequence summary, and annotation lookups. Use when a user wants AlphaFold metadata or concise structure summaries",C:\Users\Treml\.codex\.tmp\plugins\plugins\life-science-research\skills\alphafold-skill\SKILL.md,
amortized-analysis-assistant,yes,1,"Apply amortized analysis techniques including aggregate, accounting, and potential methods",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\computer-science\skills\amortized-analysis-assistant\SKILL.md,
amplitude-desktop-integration,yes,1,Integrate Amplitude analytics with privacy controls for desktop applications,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\desktop-development\skills\amplitude-desktop-integration\SKILL.md,
analogy-mapper,yes,1,Skill for identifying and mapping analogies across domains,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\scientific-discovery\skills\analogy-mapper\SKILL.md,
analytics,yes,1,"Google Analytics 4, tag management, and event tracking.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\web-development\skills\analytics\SKILL.md,
anaplan-planning,yes,1,Anaplan connected planning for territory and quota management,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\sales\skills\anaplan-planning\SKILL.md,
android-emulator-qa,yes,1,"Use when validating Android feature flows in an emulator with adb-driven launch, input, UI-tree inspection, screenshots, and logcat capture.",C:\Users\Treml\.codex\.tmp\plugins\plugins\test-android-apps\skills\android-emulator-qa\SKILL.md,
android-performance,yes,1,"Gather and interpret Android performance evidence on an adb target using Simpleperf CPU profiles, Perfetto or Compose traces, gfxinfo frame data, dumpsys meminfo snapshots, Java heap dumps, and native allocation traces. Use when asked to profile an Android app flow, find CPU-heavy functions, diagnose jank, capture startup or frame timing evidence, compare before/after performance, explain what code is taking time, or gather memory/leak profiling artifacts.",C:\Users\Treml\.codex\.tmp\plugins\plugins\test-android-apps\skills\android-performance\SKILL.md,
angular-development,yes,1,"Angular development patterns including modules, components, services, dependency injection, signals, and enterprise architecture.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\web-development\skills\angular-development\SKILL.md,
animation-blending,yes,1,Animation blending skill for blend trees.,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\game-development\skills\animation-blending\SKILL.md,
animation-rigging,yes,1,Character rigging skill for IK constraints.,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\game-development\skills\animation-rigging\SKILL.md,
animation-spec,yes,1,"Generate animation specifications, easing curves, and motion design documentation",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\ux-ui-design\skills\animation-spec\SKILL.md,
animation-state-machines,yes,1,Animation state machine skill for transitions.,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\game-development\skills\animation-state-machines\SKILL.md,
ansatz-designer,yes,1,Parameterized quantum circuit (ansatz) design skill for variational algorithms,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\quantum-computing\skills\ansatz-designer\SKILL.md,
anthropometric-analyzer,yes,1,Anthropometric data analysis skill for workstation design and accommodation.,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\industrial-engineering\skills\anthropometric-analyzer\SKILL.md,
anti-cheat,yes,1,Anti-cheat skill for server validation and cheat detection.,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\game-development\skills\anti-cheat\SKILL.md,
anti-drift,yes,1,"Hierarchical coordination and drift detection with frequent checkpoints, shared memory coherence validation, role specialization enforcement, and short task cycles.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\methodologies\ruflo\skills\anti-drift\SKILL.md,
ap-style-writing,yes,1,"AP style compliance, grammar checking, and PR writing assistance",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\public-relations\skills\ap-style-writing\SKILL.md,
Apache Spark Optimizer,yes,1,"Analyzes and optimizes Apache Spark jobs for performance, cost, and resource utilization",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\data-engineering-analytics\skills\apache-spark-optimizer\SKILL.md,
API Testing,yes,1,Comprehensive API testing for REST and GraphQL endpoints with contract validation,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\qa-testing-automation\skills\api-testing\SKILL.md,
api-compatibility-analyzer,yes,1,Analyze API changes for backward compatibility with breaking change detection and consumer impact assessment,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\code-migration-modernization\skills\api-compatibility-analyzer\SKILL.md,
api-diff-analyzer,yes,1,"Compare API specifications to detect breaking changes. Compare OpenAPI spec versions, categorize changes by severity, generate migration guides, and block breaking changes in CI.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\sdk-platform-development\skills\api-diff-analyzer\SKILL.md,
api-gateway-configurator,yes,1,Configure API gateways for SDK traffic management,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\sdk-platform-development\skills\api-gateway-configurator\SKILL.md,
api-inventory-scanner,yes,1,"Discover and document existing API endpoints from code, logs, and traffic analysis",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\code-migration-modernization\skills\api-inventory-scanner\SKILL.md,
api-key-manager,yes,1,"API key generation, rotation, and management system",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\sdk-platform-development\skills\api-key-manager\SKILL.md,
api-mock-server,yes,1,Generate and run mock API servers from OpenAPI specifications,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\software-architecture\skills\api-mock-server\SKILL.md,
apollo-prospecting,yes,1,Apollo.io prospecting and engagement data integration,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\business\sales\skills\apollo-prospecting\SKILL.md,
apollo-server,yes,1,"Apollo Server configuration, plugins, caching, federation, and performance optimization.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\web-development\skills\apollo-server\SKILL.md,
App Store Connect,yes,1,Apple App Store submission and management expertise,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\mobile-development\skills\app-store-connect\SKILL.md,
appimage-builder,yes,1,Build AppImage bundles with AppDir structure for portable Linux applications,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\desktop-development\skills\appimage-builder\SKILL.md,
Appium Mobile Testing,yes,1,Appium mobile testing framework for iOS and Android automation,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\qa-testing-automation\skills\appium-mobile\SKILL.md,
appkit-interop,yes,1,"Decide when and how to bridge a macOS app from SwiftUI into AppKit. Use when implementing NSViewRepresentable or NSViewControllerRepresentable, accessing NSWindow or the responder chain, presenting panels, customizing menus, or handling desktop behaviors that SwiftUI does not model cleanly.",C:\Users\Treml\.codex\.tmp\plugins\plugins\build-macos-apps\skills\appkit-interop\SKILL.md,
appkit-menu-bar-builder,yes,1,Generate NSMenu and NSStatusItem configurations for macOS menu bar applications,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\desktop-development\skills\appkit-menu-bar-builder\SKILL.md,
approximation-ratio-calculator,yes,1,Analyze and prove approximation ratios for optimization algorithms,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\science\computer-science\skills\approximation-ratio-calculator\SKILL.md,
architecture-analyzer,yes,1,"Analyze and visualize software architecture patterns, dependencies, and module boundaries for migration planning",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\code-migration-modernization\skills\architecture-analyzer\SKILL.md,
architecture-design,no,1,,C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\methodologies\bmad-method\skills\architecture-design\SKILL.md,
architecture-patterns,yes,1,"System and API design guidance covering component boundaries, data flow, integration patterns, and scalability considerations.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\methodologies\cc10x\skills\architecture-patterns\SKILL.md,
archival-finding-aid-interpretation,yes,1,"Navigate finding aids, catalog systems, and archival hierarchies to locate relevant collections and documents efficiently",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\social-sciences-humanities\humanities\skills\archival-finding-aid-interpretation\SKILL.md,
argparse-scaffolder,yes,1,"Generate argparse-based Python CLI applications with subparsers, type converters, and standard library patterns. Creates lightweight Python CLIs without external dependencies.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\cli-mcp-development\skills\argparse-scaffolder\SKILL.md,
argument-mapping-reconstruction,yes,1,"Extract arguments from complex texts, identify premises, conclusions, and implicit assumptions, and create visual argument maps using Toulmin model or standard form",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\domains\social-sciences-humanities\philosophy\skills\argument-mapping-reconstruction\SKILL.md,
argument-validator-generator,yes,1,"Generate argument validation logic with type coercion, constraints, custom validators, and helpful error messages for CLI applications.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\cli-mcp-development\skills\argument-validator-generator\SKILL.md,
aria,yes,1,"WAI-ARIA implementation, roles, states, and properties.",C:\Users\Treml\.claude\plugins\marketplaces\a5c.ai\library\specializations\web-development\skills\aria\SKILL.md,
